Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,P&L,P&L%,Signal_at_Entry,Correct
2024-09-03,2024-09-10,542.1785888671875,538.9475708007812,165,-622.0443301391642,-0.5959324349486095,0.5304674710579899,False
2024-09-10,2024-09-17,538.9475708007812,552.9715576171875,165,2222.717517700192,2.602105951710487,0.5529151016790786,True
2024-09-18,2024-09-25,551.3316040039062,561.5336303710938,165,1590.681301574703,1.8504338030139955,0.5246733677269064,True
2024-09-26,2024-10-03,563.7599487304688,559.3468627929688,164,-815.4789792480442,-0.7827952211642231,0.5294355409514181,False
2024-10-03,2024-10-10,559.3468627929688,567.5328369140625,164,1249.4243706054694,1.4634879831485925,0.5271926809128856,True
2024-10-10,2024-10-17,567.5328369140625,573.6599731445312,163,905.2166299438541,1.0796091136831443,0.5245928146048173,True
2024-10-18,2024-10-25,575.8665771484375,570.3994140625,162,-978.0851249999978,-0.9493801694499537,0.536719818047885,False
2024-10-25,2024-11-01,570.3994140625,562.5187377929688,162,-1367.7975911865215,-1.3816066558349882,0.542116540604933,False
2024-11-01,2024-11-08,562.5187377929688,589.2635498046875,162,4237.198850830071,4.754474867210923,0.5642429409911847,True
2024-11-08,2024-11-15,589.2635498046875,577.00927734375,161,-2065.836359863286,-2.079591120984692,0.5332931669453591,False
2024-11-15,2024-11-22,577.00927734375,586.6236572265625,161,1453.4687523193425,1.6662435528024933,0.5660984440778173,True
2024-11-22,2024-12-02,586.6236572265625,594.6224975585938,160,1184.674853515622,1.3635386560862717,0.551482121426257,True
2024-12-02,2024-12-09,594.6224975585938,595.6567993164062,160,70.18319335937849,0.17394258744987123,0.5742993901945483,True
2024-12-09,2024-12-16,595.6567993164062,597.7352905273438,159,235.4401913452166,0.34894107031480104,0.5343546304164281,True
2024-12-16,2024-12-23,597.7352905273438,587.7875366210938,159,-1675.1510894165112,-1.6642406871231752,0.5705309702360477,False
2024-12-23,2024-12-31,587.7875366210938,579.2774658203125,159,-1445.2063743896433,-1.4478140944773177,0.5529356801350562,False
2024-12-31,2025-01-08,579.2774658203125,582.6477661132812,159,443.2367517700186,0.5818110476982108,0.5606117405769008,True
2025-01-08,2025-01-16,582.6477661132812,584.77294921875,159,244.92521484375175,0.3647457742171456,0.5444787919819107,True
2025-01-16,2025-01-24,584.77294921875,600.913330078125,158,2455.235869628901,2.760110720056108,0.5236641985525672,True
2025-01-24,2025-01-31,600.913330078125,594.8348388671875,158,-1054.385515869144,-1.0115420821414034,0.5593986027567028,False
2025-01-31,2025-02-07,594.8348388671875,593.7969360351562,157,-256.1768635864282,-0.17448588485634575,0.5642053546836155,False
2025-02-07,2025-02-14,593.7969360351562,602.623291015625,157,1291.1258752441354,1.4864264944516536,0.5557980823026777,True
2025-02-14,2025-02-24,602.623291015625,590.2783203125,157,-2030.8340966796823,-2.0485385956987345,0.5355784753029812,False
2025-02-24,2025-03-03,590.2783203125,576.9942626953125,157,-2176.1851451416005,-2.2504735749323768,0.5364257758142004,False
2025-03-03,2025-03-10,576.9942626953125,554.073486328125,157,-3685.5514270019485,-3.9724444156719496,0.5447171873618305,False
2025-03-10,2025-03-17,554.073486328125,560.5671997070312,157,931.5039501342835,1.1719949680213837,0.5583771869930546,True
2025-03-17,2025-03-24,560.5671997070312,569.1236572265625,157,1254.0114163818362,1.526392825695666,0.5336625446734156,True
2025-03-24,2025-03-31,569.1236572265625,554.5604858398438,156,-2358.3661721191456,-2.5588764764563843,0.5270735829483129,False
